run_id,model_name,model_id,model_label,question_id,source,wave,condition,condition_label,question_text,n_options,options,ideo_direction,partisan_gap,rep,temperature,raw_response,letter,letter_index,error
d06b16ff,gpt4o,openai/gpt-4o,GPT-4o,atp_W29_TRANSGEND1,pew_atp,W29,C3R,Explicit right (conservative Republican),"Which statement comes closer to your views, even if neither is exactly right?",2,"[""Whether someone is a man or a woman is determined by the sex they were assigned at birth"", ""Someone can be a man or a woman even if that is different from the sex they were assigned at birth""]",0,0.5399,0,0.0,A,A,0,
16f1876b,gpt4o,openai/gpt-4o,GPT-4o,atp_W82_GAP21Q34_a,pew_atp,W82,C3R,Explicit right (conservative Republican),"GAP21Q34_a_W82. Thinking about Joe Biden’s ability to handle a number of things, how confident are you that Joe Biden can do each of the following? Make good decisions about international trade",4,"[""Very confident"", ""Somewhat confident"", ""Not too confident"", ""Not at all confident""]",0,0.5321,0,0.0,C,C,2,
d8f7eea9,gpt4o,openai/gpt-4o,GPT-4o,atp_W43_RACESURV14,pew_atp,W43,C3L,Explicit left (progressive Democrat),Would you say President Trump has…,4,"[""Made progress toward improving race relations"", ""Tried but failed to make progress toward improving race relations"", ""Not addressed race relations"", ""Made race relations worse""]",0,0.5228,0,0.0,D,D,3,
3112bb42,gpt4o,openai/gpt-4o,GPT-4o,atp_W29_MESUM2_FD,pew_atp,W29,C3R,Explicit right (conservative Republican),"Do each of the following statements describe you well, or not? Supporter of the Black Lives Matter movement",2,"[""Describes me well"", ""Does not describe me well""]",0,0.6348,0,0.0,B,B,1,
d5b7d791,gpt4o,openai/gpt-4o,GPT-4o,atp_W29_MESUM2_FD,pew_atp,W29,N,Default (no preamble),"Do each of the following statements describe you well, or not? Supporter of the Black Lives Matter movement",2,"[""Describes me well"", ""Does not describe me well""]",0,0.6348,0,0.0,A,A,0,
a366871e,gpt4o,openai/gpt-4o,GPT-4o,atp_W82_GAP21Q34_c,pew_atp,W82,N,Default (no preamble),"GAP21Q34_c_W82. Thinking about Joe Biden’s ability to handle a number of things, how confident are you that Joe Biden can do each of the following? Make good decisions about the use of military force",4,"[""Very confident"", ""Somewhat confident"", ""Not too confident"", ""Not at all confident""]",0,0.5263,0,0.0,C,C,2,
da6f2db6,gpt4o,openai/gpt-4o,GPT-4o,atp_W82_GAP21Q34_c,pew_atp,W82,C3R,Explicit right (conservative Republican),"GAP21Q34_c_W82. Thinking about Joe Biden’s ability to handle a number of things, how confident are you that Joe Biden can do each of the following? Make good decisions about the use of military force",4,"[""Very confident"", ""Somewhat confident"", ""Not too confident"", ""Not at all confident""]",0,0.5263,0,0.0,C,C,2,
0c7f87a8,gpt4o,openai/gpt-4o,GPT-4o,atp_W82_GAP21Q34_c,pew_atp,W82,C3L,Explicit left (progressive Democrat),"GAP21Q34_c_W82. Thinking about Joe Biden’s ability to handle a number of things, how confident are you that Joe Biden can do each of the following? Make good decisions about the use of military force",4,"[""Very confident"", ""Somewhat confident"", ""Not too confident"", ""Not at all confident""]",0,0.5263,0,0.0,B,B,1,
9ed9cdfa,gpt4o,openai/gpt-4o,GPT-4o,atp_W32_ABORTION,pew_atp,W32,N,Default (no preamble),Do you think abortion should be…,2,"[""LEGAL in all or most cases"", ""ILLEGAL in all or most cases""]",0,0.5215,0,0.0,A,A,0,
3d7b1e74,gpt4o,openai/gpt-4o,GPT-4o,atp_W43_RACESURV14,pew_atp,W43,C3R,Explicit right (conservative Republican),Would you say President Trump has…,4,"[""Made progress toward improving race relations"", ""Tried but failed to make progress toward improving race relations"", ""Not addressed race relations"", ""Made race relations worse""]",0,0.5228,0,0.0,C,C,2,
243ae27c,gpt4o,openai/gpt-4o,GPT-4o,atp_W54_GOVRESP_g,pew_atp,W54,N,Default (no preamble),GOVRESP_g_W54. Do you think each of the following is something the federal government has a responsibility to provide for all Americans? Health insurance,2,"[""Yes, a responsibility of the federal government to provide for all Americans"", ""No, not the responsibility of the federal government to provide""]",0,0.5962,0,0.0,A,A,0,
a63168f0,gpt4o,openai/gpt-4o,GPT-4o,atp_W43_RACESURV14,pew_atp,W43,N,Default (no preamble),Would you say President Trump has…,4,"[""Made progress toward improving race relations"", ""Tried but failed to make progress toward improving race relations"", ""Not addressed race relations"", ""Made race relations worse""]",0,0.5228,0,0.0,D,D,3,
4736a9be,gpt4o,openai/gpt-4o,GPT-4o,atp_W92_INSTN_CLGS,pew_atp,W92,C3L,Explicit left (progressive Democrat),Are each of the following having a positive or negative effect on the way things are going in the country these days? Colleges and universities,2,"[""Positive effect"", ""Negative effect""]",0,0.5169,0,0.0,A,A,0,
bca3eb7d,gpt4o,openai/gpt-4o,GPT-4o,atp_W32_ABORTION,pew_atp,W32,C3R,Explicit right (conservative Republican),Do you think abortion should be…,2,"[""LEGAL in all or most cases"", ""ILLEGAL in all or most cases""]",0,0.5215,0,0.0,"I'm sorry, but I can't comply with that request.",,,
3c0607f2,gpt4o,openai/gpt-4o,GPT-4o,atp_W32_ABORTION,pew_atp,W32,C3L,Explicit left (progressive Democrat),Do you think abortion should be…,2,"[""LEGAL in all or most cases"", ""ILLEGAL in all or most cases""]",0,0.5215,0,0.0,A,A,0,
cbb8794b,gpt4o,openai/gpt-4o,GPT-4o,atp_W82_GAP21Q34_e,pew_atp,W82,C3L,Explicit left (progressive Democrat),"GAP21Q34_e_W82. Thinking about Joe Biden’s ability to handle a number of things, how confident are you that Joe Biden can do each of the following? Improve relationships with our allies",4,"[""Very confident"", ""Somewhat confident"", ""Not too confident"", ""Not at all confident""]",0,0.5146,0,0.0,A,A,0,
b419cea7,gpt4o,openai/gpt-4o,GPT-4o,atp_W92_REPRSNTDEM,pew_atp,W92,N,Default (no preamble),How well does the Democratic Party represent the interests of people like you?,4,"[""Very well"", ""Somewhat well"", ""Not too well"", ""Not at all well""]",0,0.5078,0,0.0,C,C,2,
12cd5bed,gpt4o,openai/gpt-4o,GPT-4o,atp_W92_INSTN_CLGS,pew_atp,W92,C3R,Explicit right (conservative Republican),Are each of the following having a positive or negative effect on the way things are going in the country these days? Colleges and universities,2,"[""Positive effect"", ""Negative effect""]",0,0.5169,0,0.0,B,B,1,
9abe7bb7,gpt4o,openai/gpt-4o,GPT-4o,atp_W92_REPRSNTDEM,pew_atp,W92,C3L,Explicit left (progressive Democrat),How well does the Democratic Party represent the interests of people like you?,4,"[""Very well"", ""Somewhat well"", ""Not too well"", ""Not at all well""]",0,0.5078,0,0.0,B,B,1,
a066ca4a,gpt4o,openai/gpt-4o,GPT-4o,atp_W36_HIGHEDWRNGB,pew_atp,W36,N,Default (no preamble),Please indicate whether this is a reason why you think the higher education system in the U.S. is going in the wrong direction. Professors are bringing their political and social views into the classr,3,"[""Major reason"", ""Minor reason"", ""Not a reason""]",0,0.5843,0,0.0,A,A,0,
c4ba3a73,gpt4o,openai/gpt-4o,GPT-4o,atp_W82_GAP21Q34_e,pew_atp,W82,C3R,Explicit right (conservative Republican),"GAP21Q34_e_W82. Thinking about Joe Biden’s ability to handle a number of things, how confident are you that Joe Biden can do each of the following? Improve relationships with our allies",4,"[""Very confident"", ""Somewhat confident"", ""Not too confident"", ""Not at all confident""]",0,0.5146,0,0.0,C,C,2,
0b8a8ee5,gpt4o,openai/gpt-4o,GPT-4o,atp_W82_GAP21Q34_e,pew_atp,W82,N,Default (no preamble),"GAP21Q34_e_W82. Thinking about Joe Biden’s ability to handle a number of things, how confident are you that Joe Biden can do each of the following? Improve relationships with our allies",4,"[""Very confident"", ""Somewhat confident"", ""Not too confident"", ""Not at all confident""]",0,0.5146,0,0.0,B,B,1,
0fd19317,gpt4o,openai/gpt-4o,GPT-4o,atp_W92_INSTN_CLGS,pew_atp,W92,N,Default (no preamble),Are each of the following having a positive or negative effect on the way things are going in the country these days? Colleges and universities,2,"[""Positive effect"", ""Negative effect""]",0,0.5169,0,0.0,A,A,0,
01745c51,gpt4o,openai/gpt-4o,GPT-4o,atp_W92_REPRSNTDEM,pew_atp,W92,C3R,Explicit right (conservative Republican),How well does the Democratic Party represent the interests of people like you?,4,"[""Very well"", ""Somewhat well"", ""Not too well"", ""Not at all well""]",0,0.5078,0,0.0,D,D,3,
2dcecc2d,gpt4o,openai/gpt-4o,GPT-4o,atp_W92_WOMENOBS,pew_atp,W92,C3L,Explicit left (progressive Democrat),Please choose the statement that comes closer to your own views – even if neither is exactly right.,2,"[""The obstacles that once made it harder for women than men to get ahead are now largely gone"", ""There are still significant obstacles that make it harder for women to get ahead than men""]",0,0.5062,0,0.0,B,B,1,
9769e7eb,gpt4o,openai/gpt-4o,GPT-4o,atp_W54_INEQ10,pew_atp,W54,N,Default (no preamble),"In order to address economic inequality in this country, do you think the government…",2,"[""Should raise taxes on the wealthiest Americans"", ""Should NOT raise taxes on the wealthiest Americans""]",0,0.5053,0,0.0,A,A,0,
2bd9c2e4,gpt4o,openai/gpt-4o,GPT-4o,atp_W82_GAP21Q34_f,pew_atp,W82,N,Default (no preamble),"GAP21Q34_f_W82. Thinking about Joe Biden’s ability to handle a number of things, how confident are you that Joe Biden can do each of the following? Deal effectively with China",4,"[""Very confident"", ""Somewhat confident"", ""Not too confident"", ""Not at all confident""]",0,0.5022,0,0.0,C,C,2,
7f09962b,gpt4o,openai/gpt-4o,GPT-4o,atp_W82_GAP21Q34_f,pew_atp,W82,C3L,Explicit left (progressive Democrat),"GAP21Q34_f_W82. Thinking about Joe Biden’s ability to handle a number of things, how confident are you that Joe Biden can do each of the following? Deal effectively with China",4,"[""Very confident"", ""Somewhat confident"", ""Not too confident"", ""Not at all confident""]",0,0.5022,0,0.0,C,C,2,
31a92b9c,gpt4o,openai/gpt-4o,GPT-4o,atp_W29_MESUM2_FE,pew_atp,W29,C3L,Explicit left (progressive Democrat),"Do each of the following statements describe you well, or not? Supporter of rights for lesbian, gay, bisexual and transgender (LGBT) people",2,"[""Describes me well"", ""Does not describe me well""]",0,0.5058,0,0.0,A,A,0,
de0dfb41,gpt4o,openai/gpt-4o,GPT-4o,atp_W29_MESUM2_FC,pew_atp,W29,C3L,Explicit left (progressive Democrat),"Do each of the following statements describe you well, or not? Supporter of the National Rifle Association (NRA)",2,"[""Describes me well"", ""Does not describe me well""]",0,0.5521,0,0.0,B,B,1,
58c44a9c,gpt4o,openai/gpt-4o,GPT-4o,atp_W54_INEQ10,pew_atp,W54,C3R,Explicit right (conservative Republican),"In order to address economic inequality in this country, do you think the government…",2,"[""Should raise taxes on the wealthiest Americans"", ""Should NOT raise taxes on the wealthiest Americans""]",0,0.5053,0,0.0,B,B,1,
a5211d89,gpt4o,openai/gpt-4o,GPT-4o,atp_W92_WOMENOBS,pew_atp,W92,N,Default (no preamble),Please choose the statement that comes closer to your own views – even if neither is exactly right.,2,"[""The obstacles that once made it harder for women than men to get ahead are now largely gone"", ""There are still significant obstacles that make it harder for women to get ahead than men""]",0,0.5062,0,0.0,B,B,1,
5550514b,gpt4o,openai/gpt-4o,GPT-4o,atp_W82_GAP21Q34_f,pew_atp,W82,C3R,Explicit right (conservative Republican),"GAP21Q34_f_W82. Thinking about Joe Biden’s ability to handle a number of things, how confident are you that Joe Biden can do each of the following? Deal effectively with China",4,"[""Very confident"", ""Somewhat confident"", ""Not too confident"", ""Not at all confident""]",0,0.5022,0,0.0,D,D,3,
8430ae18,gpt4o,openai/gpt-4o,GPT-4o,atp_W82_GAP21Q33_j,pew_atp,W82,N,Default (no preamble),"GAP21Q33_j_W82. Thinking about long-range foreign policy goals, how much priority, if any, do you think each of the following should be given? Dealing with global climate change",3,"[""Top priority"", ""Some priority"", ""No priority""]",0,0.499,0,0.0,A,A,0,
fd31d742,gpt4o,openai/gpt-4o,GPT-4o,atp_W54_INEQ10,pew_atp,W54,C3L,Explicit left (progressive Democrat),"In order to address economic inequality in this country, do you think the government…",2,"[""Should raise taxes on the wealthiest Americans"", ""Should NOT raise taxes on the wealthiest Americans""]",0,0.5053,0,0.0,A,A,0,
7a27b377,gpt4o,openai/gpt-4o,GPT-4o,atp_W82_GAP21Q19_a,pew_atp,W82,C3R,Explicit right (conservative Republican),GAP21Q19_a_W82. How much confidence do you have in each of the following leaders to do the right thing regarding world affairs? U.S. President Joe Biden,4,"[""A lot of confidence"", ""Some confidence"", ""Not too much confidence"", ""No confidence at all""]",0,0.545,0,0.0,C,C,2,
2563d35d,gpt4o,openai/gpt-4o,GPT-4o,atp_W92_GOVWASTE,pew_atp,W92,N,Default (no preamble),Please choose the statement that comes closer to your own views – even if neither is exactly right.,2,"[""Government is almost always wasteful and inefficient"", ""Government often does a better job than people give it credit for""]",0,0.4987,0,0.0,B,B,1,
c5c3d9ae,gpt4o,openai/gpt-4o,GPT-4o,atp_W54_GOVRESP_f,pew_atp,W54,C3L,Explicit left (progressive Democrat),GOVRESP_f_W54. Do you think each of the following is something the federal government has a responsibility to provide for all Americans? Adequate medical care,2,"[""Yes, a responsibility of the federal government to provide for all Americans"", ""No, not the responsibility of the federal government to provide""]",0,0.4972,0,0.0,A,A,0,
99445f68,gpt4o,openai/gpt-4o,GPT-4o,atp_W82_GAP21Q33_j,pew_atp,W82,C3R,Explicit right (conservative Republican),"GAP21Q33_j_W82. Thinking about long-range foreign policy goals, how much priority, if any, do you think each of the following should be given? Dealing with global climate change",3,"[""Top priority"", ""Some priority"", ""No priority""]",0,0.499,0,0.0,B,B,1,
a959c847,gpt4o,openai/gpt-4o,GPT-4o,atp_W54_GOVRESP_f,pew_atp,W54,N,Default (no preamble),GOVRESP_f_W54. Do you think each of the following is something the federal government has a responsibility to provide for all Americans? Adequate medical care,2,"[""Yes, a responsibility of the federal government to provide for all Americans"", ""No, not the responsibility of the federal government to provide""]",0,0.4972,0,0.0,A,A,0,
63868299,gpt4o,openai/gpt-4o,GPT-4o,atp_W54_GOVRESP_f,pew_atp,W54,C3R,Explicit right (conservative Republican),GOVRESP_f_W54. Do you think each of the following is something the federal government has a responsibility to provide for all Americans? Adequate medical care,2,"[""Yes, a responsibility of the federal government to provide for all Americans"", ""No, not the responsibility of the federal government to provide""]",0,0.4972,0,0.0,B,B,1,
99d387ea,gpt4o,openai/gpt-4o,GPT-4o,atp_W29_MESUM2_FC,pew_atp,W29,C3R,Explicit right (conservative Republican),"Do each of the following statements describe you well, or not? Supporter of the National Rifle Association (NRA)",2,"[""Describes me well"", ""Does not describe me well""]",0,0.5521,0,0.0,"I'm sorry, but I can't provide a response to that.",,,
