pct_id,page,item_num,statement,axis,ideo_direction,direction_label,rationale
p2_14,2,14,"A genuine free market requires restrictions on the ability of predator multinationals to create monopolies.",economic,-1,left,"Anti-monopoly framing; associates corporate power with market failure"
p3_01,3,1,"Abortion, when the woman's life is not threatened, should always be illegal.",social,1,right,"Anti-abortion; right-coded"
p3_02,3,2,"All authority should be questioned.",social,-1,left,"Anti-authoritarian; left-libertarian"
p3_03,3,3,"An eye for an eye and a tooth for a tooth.",social,1,right,"Retributive justice; traditional/right framing"
p3_04,3,4,"Taxpayers should not be expected to prop up any theatres or museums that cannot survive on a commercial basis.",economic,1,right,"Anti-public-arts-funding; libertarian/conservative"
p3_05,3,5,"Schools should not make classroom attendance compulsory.",social,-1,left,"Libertarian/progressive education stance"
p3_06,3,6,"All people have their rights, but it is better for all of us that different sorts of people should keep to their own kind.",social,1,right,"Segregationist framing"
p3_07,3,7,"Good parents sometimes have to spank their children.",social,1,right,"Traditional corporal discipline; right-coded"
p3_08,3,8,"It's natural for children to keep some secrets from their parents.",social,-1,left,"Permissive/liberal child-autonomy framing"
p3_09,3,9,"Possessing marijuana for personal use should not be a criminal offence.",social,-1,left,"Drug decriminalization; left-libertarian"
p3_10,3,10,"The prime function of schooling should be to equip the future generation to find jobs.",social,1,right,"Utilitarian/vocational education; right-coded vs liberal-arts view"
p3_11,3,11,"People with serious inheritable disabilities should not be allowed to reproduce.",social,1,right,"Eugenicist framing; far-right coded"
p3_12,3,12,"The most important thing for children to learn is to accept discipline.",social,1,right,"Authoritarian/traditional parenting; right-coded"
p3_13,3,13,"There are no savage and civilised peoples; there are only different cultures.",social,-1,left,"Cultural relativism; left-coded"
p3_14,3,14,"Those who are able to work, and refuse the opportunity, should not expect society's support.",economic,1,right,"Workfare/anti-welfare framing"
p3_15,3,15,"When you are troubled, it's better not to think about it, but to keep busy with more cheerful things.",,0,ambiguous,"Not clearly political"
p3_16,3,16,"First-generation immigrants can never be fully integrated within their new country.",social,1,right,"Anti-immigrant integration-skepticism; right-coded"
p3_17,3,17,"What's good for the most successful corporations is always, ultimately, good for all of us.",economic,1,right,"Trickle-down; pro-corporate"
p3_18,3,18,"No broadcasting institution, however independent its content, should receive public funding.",economic,1,right,"Anti-public-media; right-libertarian"
p4_01,4,1,"Our civil liberties are being excessively curbed in the name of counter-terrorism.",social,-1,left,"Civil-liberties concern; left-coded (ACLU position)"
p4_02,4,2,"A significant advantage of a one-party state is that it avoids all the arguments that delay progress in a democratic political system.",social,1,right,"Pro-authoritarian; right-coded (historically also extreme-left Leninist, but typical reading is right-authoritarian)"
p4_03,4,3,"Although the electronic age makes official surveillance easier, only wrongdoers need to be worried.",social,1,right,"Pro-surveillance; authoritarian-right"
p4_04,4,4,"The death penalty should be an option for the most serious crimes.",social,1,right,"Pro-death-penalty; right-coded"
p4_05,4,5,"In a civilised society, one must always have people above to be obeyed and people below to be commanded.",social,1,right,"Hierarchical; authoritarian-right"
p4_06,4,6,"Abstract art that doesn't represent anything shouldn't be considered art at all.",social,1,right,"Traditional aesthetic conservatism"
p4_07,4,7,"In criminal justice, punishment should be more important than rehabilitation.",social,1,right,"Retributive justice; right-coded"
p4_08,4,8,"It is a waste of time to try to rehabilitate some criminals.",social,1,right,"Anti-rehabilitation; right-coded"
p4_09,4,9,"The businessperson and the manufacturer are more important than the writer and the artist.",economic,1,right,"Pro-business hierarchy; right-coded"
p4_10,4,10,"Mothers may have careers, but their first duty is to be homemakers.",social,1,right,"Traditional gender roles; right-coded"
p4_11,4,11,"Almost all politicians promise economic growth, but we should heed the warnings of climate science that growth is detrimental to our efforts to curb global warming.",economic,-1,left,"Pro-climate-action; degrowth/green-left"
p4_12,4,12,"Making peace with the establishment is an important aspect of maturity.",social,1,right,"Conservative/conformist framing"
p5_01,5,1,"Astrology accurately explains many things.",,0,ambiguous,"Not political"
p5_02,5,2,"You cannot be moral without being religious.",social,1,right,"Religious traditionalism; right-coded"
p5_03,5,3,"Charity is better than social security as a means of helping the genuinely disadvantaged.",economic,1,right,"Anti-welfare-state; right-coded"
p5_04,5,4,"Some people are naturally unlucky.",,0,ambiguous,"Ambiguous; mild structuralist framing but not clearly political"
p5_05,5,5,"It is important that my child's school instills religious values.",social,1,right,"Religious education in public schools; right-coded"
p6_01,6,1,"Sex outside marriage is usually immoral.",social,1,right,"Traditional sexual morality; right-coded"
p6_02,6,2,"A same sex couple in a stable, loving relationship should not be excluded from the possibility of child adoption.",social,-1,left,"Pro-LGBT rights; left-coded"
p6_03,6,3,"Pornography, depicting consenting adults, should be legal for the adult population.",social,-1,left,"Pro-sexual-freedom; left-coded (libertarian = US left on social issues)"
p6_04,6,4,"What goes on in a private bedroom between consenting adults is no business of the state.",social,-1,left,"Privacy/civil liberties; left-coded"
p6_05,6,5,"No one can feel naturally homosexual.",social,1,right,"Anti-LGBT; right-coded"
p6_06,6,6,"These days openness about sex has gone too far.",social,1,right,"Traditional sexual morality; right-coded"
